Short Name,Birthdate,Team,Match,Date,Competition,Season,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Explosive Acceleration to Sprint Count,Time to Sprint,PSV-99,Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprint Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP, Explosive Acceleration to HSR Count TIP, Explosive Acceleration to Sprint Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP, Explosive Acceleration to HSR Count 1 TIP, Explosive Acceleration to Sprint Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP, Explosive Acceleration to HSR Count 2 TIP, Explosive Acceleration to Sprint Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP
K. Diatta,25/02/1999,Club Brugge KV,Club Brugge KV v LASK Linz,28/08/2019,UEFA - Champions League,2019/2020,Wide Attacker,95.2,30.35,23.65,46.1,17.92,12.83,49.1,12.43,10.82,TRUE,10810,113.55,1430,618,68,293,14,911,82,124,10,85,28,null,null,null,null,29.2,10219.54,113.55,1351.89,584.24,64.29,277,13.24,861.24,77.52,117.23,9.45,80.36,26.47,null,null,4099,135.06,615,345,36,220,8,565,44,48,3,27,7,null,null,3416,144.44,674,216,25,61,3,277,28,36,4,24,12,null,null,5657,122.71,808,341,37,138,7,479,44,75,4,50,16,null,null,2406,134.29,372,196,20,81,4,277,24,28,2,16,5,null,null,1887,147.04,373,115,13,48,2,163,15,23,1,14,7,null,null,5153,104.95,622,277,31,155,7,432,38,49,6,35,12,null,null,1693,136.17,243,149,16,139,4,288,20,20,1,11,2,null,null,1529,141.36,301,101,12,13,1,114,13,13,3,10,5,null,null
K. Diatta,25/02/1999,Club Brugge KV,Club Brugge KV v Galatasaray,18/09/2019,UEFA - Champions League,2019/2020,Full Back,95.43,25.12,27.2,45.88,12.52,14.92,49.55,12.6,12.28,TRUE,10228,107.17,1314,600,62,275,12,875,74,126,9,95,22,null,null,null,null,29.4,9645.69,107.17,1239.19,565.84,58.47,259.34,11.32,825.18,69.79,118.83,8.49,89.59,20.75,null,null,3532,140.62,655,338,29,188,7,526,36,38,4,25,5,null,null,3489,128.27,496,227,25,65,4,292,29,52,2,36,7,null,null,5275,114.97,708,294,33,209,9,503,42,59,3,48,9,null,null,1907,152.36,343,162,16,140,5,302,21,16,1,12,2,null,null,1821,122.08,249,111,13,48,3,159,16,26,1,19,3,null,null,4953,99.96,606,306,29,66,3,372,32,67,6,47,13,null,null,1625,128.97,312,176,13,48,2,224,15,22,3,13,3,null,null,1668,135.79,247,116,12,17,1,133,13,26,1,17,4,null,null
K. Diatta,25/02/1999,Club Brugge KV,Galatasaray v Club Brugge KV,26/11/2019,UEFA - Champions League,2019/2020,Wide Attacker,95.48,27.52,21.1,48.07,14,11.45,47.42,13.52,9.65,TRUE,10266,107.52,1317,702,71,273,14,975,85,110,10,85,19,null,null,null,null,29.4,9676.45,107.52,1241.37,661.69,66.92,257.32,13.2,919.01,80.12,103.68,9.43,80.12,17.91,null,null,3996,145.22,619,414,39,195,9,609,48,45,4,28,5,null,null,2847,134.93,506,206,22,34,2,240,24,33,2,23,5,null,null,5319,110.66,683,314,34,136,6,450,40,57,6,44,10,null,null,2003,143.07,308,174,18,104,4,278,22,26,3,14,3,null,null,1605,140.17,286,106,11,21,1,127,12,15,1,10,2,null,null,4947,104.33,634,388,37,137,8,525,45,53,4,41,9,null,null,1993,147.45,311,240,21,91,5,331,26,19,1,14,2,null,null,1242,128.7,220,100,11,13,1,113,12,18,1,13,3,null,null
K. Diatta,25/02/1999,AS Monaco,OGC Nice v AS Monaco,08/03/2021,FRA - Coupe de France,2020/2021,Wide Attacker,64.45,23.68,21.65,46.02,17.47,15.9,18.43,6.22,5.75,TRUE,8350,129.56,1509,573,50,173,10,746,60,91,7,77,18,null,null,null,null,30.2,11660.2,129.56,2107.21,800.16,69.82,241.58,13.96,1041.74,83.79,127.08,9.78,107.53,25.14,null,null,3190,134.69,616,212,18,72,2,284,20,32,2,21,4,null,null,3485,160.97,783,305,26,93,6,398,32,33,2,29,7,null,null,6004,130.47,1126,419,32,105,6,524,38,65,5,57,12,null,null,2321,132.88,442,158,11,30,1,188,12,24,1,16,3,null,null,2595,163.21,606,210,17,75,4,285,21,23,1,23,4,null,null,2346,127.27,383,154,18,68,4,222,22,26,2,20,6,null,null,869,139.79,174,54,7,42,1,96,8,8,1,5,1,null,null,890,154.78,177,95,9,18,2,113,11,10,1,6,3,null,null
K. Diatta,25/02/1999,AS Monaco,RC Strasbourg Alsace v AS Monaco,06/08/2022,FRA - Ligue 1,2022/2023,Wide Attacker,88.53,24.37,26.43,47.15,12.5,14.7,41.38,11.87,11.73,TRUE,10133,114.45,1565,829,82,273,18,1102,100,103,9,78,20,null,null,null,null,28.5,10300.87,114.45,1590.93,842.73,83.36,277.52,18.3,1120.26,101.66,104.71,9.15,79.29,20.33,null,null,3495,143.43,656,417,39,178,11,595,50,40,5,21,4,null,null,3823,144.63,808,351,32,62,4,413,36,37,2,28,7,null,null,5599,118.75,943,434,43,119,8,553,51,61,4,41,13,null,null,1820,145.6,368,167,15,61,3,228,18,19,3,8,2,null,null,2216,150.75,517,231,21,36,3,267,24,25,1,17,5,null,null,4534,109.56,622,395,39,154,10,549,49,42,5,37,7,null,null,1675,141.15,288,250,24,117,8,367,32,21,2,13,2,null,null,1607,136.96,291,120,11,26,1,146,12,12,1,11,2,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Stade Rennais FC,13/08/2022,FRA - Ligue 1,2022/2023,Wide Attacker,86.07,19.38,29.3,49.93,11.05,17.45,36.13,8.33,11.85,TRUE,9457,109.88,1320,615,58,97,7,712,65,129,5,97,27,null,null,null,null,27.1,9889.19,109.88,1380.33,643.11,60.65,101.43,7.32,744.54,67.97,134.9,5.23,101.43,28.23,null,null,2588,133.52,502,238,21,31,1,269,22,29,0,22,1,null,null,4164,142.12,693,334,32,61,4,395,36,57,2,37,14,null,null,5743,115.01,785,383,37,66,4,449,41,84,4,62,20,null,null,1396,126.33,258,99,10,21,0,120,10,13,0,12,0,null,null,2688,154.04,460,254,24,45,3,299,27,39,2,27,12,null,null,3714,102.79,535,232,21,31,3,263,24,45,1,35,7,null,null,1192,143.04,244,139,11,10,1,149,12,16,0,10,1,null,null,1476,124.56,233,80,8,16,1,96,9,18,0,10,2,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v RC Lens,20/08/2022,FRA - Ligue 1,2022/2023,Wide Attacker,93.27,24.98,26.03,46.17,11.4,14.27,47.1,13.58,11.77,TRUE,10256,109.96,1595,575,54,108,7,683,61,104,6,79,20,null,null,null,null,28.3,9896.78,109.96,1539.14,554.86,52.11,104.22,6.75,659.08,58.86,100.36,5.79,76.23,19.3,null,null,3502,140.17,642,220,20,72,5,292,25,38,2,24,4,null,null,3746,143.89,803,315,27,30,1,345,28,42,2,29,8,null,null,5316,115.15,910,345,33,93,5,438,38,56,3,39,14,null,null,1644,144.21,318,123,13,59,4,182,17,19,1,11,2,null,null,2176,152.52,515,210,16,28,1,238,17,24,1,16,6,null,null,4940,104.88,685,230,21,15,2,245,23,48,3,40,6,null,null,1858,136.79,324,97,7,13,1,110,8,19,1,13,2,null,null,1570,133.43,288,105,11,2,0,107,11,18,1,13,2,null,null
K. Diatta,25/02/1999,AS Monaco,OGC Nice v AS Monaco,04/09/2022,FRA - Ligue 1,2022/2023,Wide Attacker,97.52,26.25,31.3,48.18,14.02,15.52,49.33,12.23,15.78,TRUE,10567,108.36,1416,597,58,144,6,741,64,106,9,98,19,null,null,null,null,29.8,9752.49,108.36,1306.85,550.98,53.53,132.9,5.54,683.88,59.07,97.83,8.31,90.45,17.54,null,null,3584,136.53,639,300,29,85,3,385,32,46,2,31,6,null,null,4011,128.15,614,239,24,28,0,267,24,46,3,47,8,null,null,5354,111.12,726,270,26,51,2,321,28,56,4,55,9,null,null,1957,139.62,374,130,14,25,1,155,15,26,1,18,3,null,null,2007,129.34,274,121,12,15,0,136,12,23,2,26,4,null,null,5213,105.67,690,327,32,93,4,420,36,50,5,43,10,null,null,1627,133,265,170,15,60,2,230,17,20,1,13,3,null,null,2004,126.97,340,118,12,13,0,131,12,23,1,21,4,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Olympique Lyonnais,11/09/2022,FRA - Ligue 1,2022/2023,Wide Attacker,88.22,19.7,30.38,47.07,12.85,18.47,41.15,6.85,11.92,TRUE,9977,113.1,1438,648,65,279,17,927,82,96,6,82,17,null,null,null,null,28.8,10178.69,113.1,1467.07,661.1,66.31,284.64,17.34,945.74,83.66,97.94,6.12,83.66,17.34,null,null,3092,156.95,640,364,35,208,13,572,48,28,2,14,5,null,null,4033,132.74,650,218,22,48,2,266,24,41,3,39,6,null,null,5536,117.62,785,331,34,140,10,471,44,53,4,45,10,null,null,1903,148.09,378,192,18,103,8,295,26,17,1,10,4,null,null,2385,129.15,343,118,11,26,1,144,12,22,2,21,4,null,null,4441,107.92,653,317,31,139,7,456,38,43,2,37,7,null,null,1189,173.58,262,172,17,105,5,277,22,11,1,4,1,null,null,1648,138.29,307,100,11,22,1,122,12,19,1,18,2,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Ferencvarosi TC,15/09/2022,UEFA - Europa League,2022/2023,Wide Attacker,47.17,11.82,13.77,47.17,11.82,13.77,0,0,0,TRUE,5720,121.27,776,362,34,131,8,493,42,65,6,54,9,null,null,null,null,28.7,10914.49,121.27,1480.71,690.74,64.88,249.96,15.27,940.71,80.14,124.03,11.45,103.04,17.17,null,null,1826,154.53,266,212,17,98,4,310,21,21,1,14,2,null,null,2117,153.78,429,117,12,25,2,142,14,25,3,16,3,null,null,5720,121.27,776,362,34,131,8,493,42,65,6,54,9,null,null,1826,154.53,266,212,17,98,4,310,21,21,1,14,2,null,null,2117,153.78,429,117,12,25,2,142,14,25,3,16,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
